TARGET_CLASS,COVERAGE_GA,TIME_GA,COVERAGE_RAND,TIME_RAND,DIF_COVERAGE,DIF_TIME,Project,Package,Class,INT-INT,INT-FLOAT,FLOAT-FLOAT,BOOL-BOOL,REF-REF,REF-NULL,VARVAR,VAREXP,VARMETHOD,VARCONST,VARARRAY,EXPEXP,EXPMETHOD,EXPCONST,EXPARRAY,METHODMETHOD,METHODCONST,METHODARRAY,CONSTCONST,CONSTARRAY,ARRAYARRAY,NLp,NNLp,Nodes,Edges,CompCicl,NPths,PS,NCtr,NEl,NCtt,NVar,NEx,NMC,NIC,NIntC,NEC,NInt,NFlt,NNull,NArr,NStr,NObj,NLExp,UPC,Args,Lob,CLASS
org.petsoar.actions.cart.ViewShoppingCart,0.958333333333333,70763,0.920634920634921,6573,0.037698412698412,10.765708200213,/home/gramos/USP/MSI/37_petsoar,org.petsoar.actions.cart,ViewShoppingCart,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,2,1,2,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,7,GA
nu.staldal.lagoon.filestorage.FTPFileStorage,0.696153846153846,75427,0.671153846153846,74432,0.025,1.01336790627687,/home/gramos/USP/MSI/52_lagoon,nu.staldal.lagoon.filestorage,FTPFileStorage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,3,3,5.5,1.5,1.5,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,1.5,30,GA
org.quickserver.net.qsadmin.QSAdminServer,0.861156629318394,104191,0.801315359477124,99836,0.05984126984127,1.04362153932449,org.quickserver.net.qsadmin.QSAdminServer,0.861156629318394,104191,0.801315359477124,99836,0.05984126984127,1.04362153932449,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.quickserver.net.qsadmin.QSAdminShell,0.520549662262369,88858,0.431716027542658,88915,0.088833634719711,0.999358938311871,org.quickserver.net.qsadmin.QSAdminShell,0.520549662262369,88858,0.431716027542658,88915,0.088833634719711,0.999358938311871,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ipac.IPAC,0.312679018976011,89986,0.300286430361618,71895,0.012392588614393,1.25163085054594,ipac.IPAC,0.312679018976011,89986,0.300286430361618,71895,0.012392588614393,1.25163085054594,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ipac.IPv6,0.543509369146704,100414,0.481418109881616,75744,0.062091259265088,1.32570236586396,ipac.IPv6,0.543509369146704,100414,0.481418109881616,75744,0.062091259265088,1.32570236586396,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ipac.IPv4,0.537750227617044,92793,0.474006439587313,75217,0.063743788029731,1.23367057978914,ipac.IPv4,0.537750227617044,92793,0.474006439587313,75217,0.063743788029731,1.23367057978914,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.exolab.jms.net.tunnel.TunnelServlet,0.656857454140063,84176,0.526351426351426,79715,0.130506027788637,1.055961864141,/home/gramos/USP/MSI/66_openjms,org.exolab.jms.net.tunnel,TunnelServlet,0,0,0,0.267857,0,0,0,0,0,0,0,0,0,0,0,0,0.983406,0,0.083333,0,0,0.25,0.125,6.5,8.875,4.625,4.625,4.190476,1.74982,5.433982,2.026335,1.290224,0.683081,1.434343,0.125,0.306818,1.002525,1.081169,0,0.589286,1.181818,0,2.330447,0,0.25,1.625,40.75,GA
org.jcvi.jillion.internal.trace.chromat.scf.section.Version2BasesSectionCodec,0.589646464646465,81851,0.511183261183261,72227,0.078463203463204,1.1332465698423,/home/gramos/USP/MSI/92_jcvi-javacommon,org.jcvi.jillion.internal.trace.chromat.scf.section,Version2BasesSectionCodec,0,0,0,0.916667,0,0.166667,0,0.111111,0,0.333333,0,0,0,0.055556,0,0,0.916667,0,0.111111,0,0,0.666667,0.166667,4.666667,4.833333,2.333333,2.333333,3.805556,1.527778,4.972222,2.027778,1.361111,0,1.583333,0,0,1.416667,2.888889,0,0.166667,0,0,1.75,0,0.333333,1.833333,49.833333,GA
macaw.presentationLayer.VariableLabelTable,0.775005056634304,96146,0.883468176914779,84994,-0.108463120280475,1.13120926183025,/home/gramos/USP/MSI/69_lhamacaw,macaw.presentationLayer,VariableLabelTable,0,0,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.333333,3.333333,2,2,2.666667,1,2,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0.666667,22,RANDOM
org.jcvi.jillion.assembly.clc.cas.consed.Cas2Consed,0.675466809613151,165491,0.510402707049049,104383,0.165064102564102,1.58542099767203,/home/gramos/USP/MSI/92_jcvi-javacommon,org.jcvi.jillion.assembly.clc.cas.consed,Cas2Consed,0,0,0,0.668571,0,0.4,0,0,0,0.571429,0,0,0,0,0,0,0.668571,0,0,0,0,0.6,0.2,7.6,8.8,5.2,5.2,3.949524,1.872381,5.169524,1.52,1.24,0.632381,1.777143,0,0.165714,1.411429,1.417143,0,0.571429,0.314286,0,2.348571,0,0.2,1.2,85.8,GA
oasis.names.tc.ciq.xsdschema.xal._2.PostalCode,0.942857142857143,88098,0.909183673469388,67833,0.033673469387755,1.29874839679802,/home/gramos/USP/MSI/21_geo-google,oasis.names.tc.ciq.xsdschema.xal._2,PostalCode,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,2.5,1,2,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,11,GA
org.jcvi.jillion.fasta.qual.QualityFastaFileDataStoreBuilder,0.76875,73384,0.738095238095238,66801,0.030654761904762,1.09854642894567,org.jcvi.jillion.fasta.qual.QualityFastaFileDataStoreBuilder,0.76875,73384,0.738095238095238,66801,0.030654761904762,1.09854642894567,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
visu.handball.moves.www.MovesViewer,0.152717391304348,76359,0,69977,0.152717391304348,1.09120139474399,/home/gramos/USP/MSI/56_jhandballmoves,visu.handball.moves.www,MovesViewer,0,0,0,0.313131,0,0.777778,0,0,0.111111,0.777778,0,0,0,0,0,0,0.555556,0,0,0,0,0.222222,0,4.555556,5.666667,3.111111,3.111111,3.523569,1.515151,6.49495,2.373737,1.111111,0.070707,2.939394,0.707071,0.262626,1.969697,0.727273,0,0.969697,1.040404,0,3.686869,0,0.111111,0.111111,40.666667,GA
org.quickserver.net.qsadmin.gui.CmdConsole,0.792786481318035,101140,0.732881519774724,103168,0.059904961543311,0.980342741935484,org.quickserver.net.qsadmin.gui.CmdConsole,0.792786481318035,101140,0.732881519774724,103168,0.059904961543311,0.980342741935484,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.jcvi.jillion.core.qual.RunLengthEncodedQualitySequence,0.72942789968652,107160,0.576612262050793,76785,0.152815637635727,1.39558507521,/home/gramos/USP/MSI/92_jcvi-javacommon,org.jcvi.jillion.core.qual,RunLengthEncodedQualitySequence,0,0,0,1.407738,0.25,0.214286,0.25,0,0,0.464286,0,0,0,0,0,0.142857,1.761905,0,0,0,0,1,0,7.75,8.5,4,4,4.949405,2.619048,7.729167,2.404762,1.392857,0,3.931548,1.72619,0.107143,1.919643,4.476191,0,0.214286,0,0,2.860119,0,0.5,0.5,35,GA
com.sap.engine.services.dc.wsgate.UndeployResponse,0.87885510787387,79561,0.839791716059465,81455,0.039063391814405,0.976747897612179,/home/gramos/USP/MSI/101_netweaver,com.sap.engine.services.dc.wsgate,UndeployResponse,0,0,0,1.1,0.5,1.25,0.5,0,0,1.75,0,0,0,0,0,0,1.033333,0,0,0,0,0,0,11.5,13.5,6.5,6.5,4.8,3.283333,7.966667,3.283333,3.55,0,1.133333,0.333333,0.3,0,2.2,0,1.683333,0,0,3.583333,0,0.5,0,39.5,GA
net.virtualinfinity.atrobots.gui.ArenaPane,0.600576225576226,78430,0.550383175383175,75148,0.050193050193051,1.04367381700112,/home/gramos/USP/MSI/86_at-robots2-j,net.virtualinfinity.atrobots.gui,ArenaPane,0,0,0,1,0,0.5,0,0,0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,7,7.5,3,3,4.75,1.625,3.125,1.5,0.5,0.125,1,1,0,0,2,0,0.5,0,0,0.5,0,0,0.5,35,GA
com.sap.netweaver.porta.core.snippets.SnippetStartStopServer,0.409888357256778,65342,0.325586694007747,64508,0.084301663249031,1.01292862900726,/home/gramos/USP/MSI/101_netweaver,com.sap.netweaver.porta.core.snippets,SnippetStartStopServer,0,0,0,0,1.666667,0,1.666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,7,8,3,3,6.333334,2.666667,8.333334,0,4.333334,0,4,0,3,1,0,0,0,0,0,8.333334,0,0,0,76,GA
org.exolab.jms.tools.migration.proxy.TextMessageHandler,0.946428571428571,117426,0.846938775510204,112732,0.099489795918367,1.04163857644679,/home/gramos/USP/MSI/66_openjms,org.exolab.jms.tools.migration.proxy,TextMessageHandler,0,0,0,0.666667,0,1,0,0,0,1,0,0,0,0,0,0,0.666667,0,0,0,0,0,0,4,4,3,3,2.666667,1.666667,4.666666,2.333333,1.666667,0,0.666667,0,0,0,1.333333,0,1,0,0,1.666667,0,0,0,32,GA
org.jcvi.jillion.internal.trace.chromat.abi.tag.TaggedDataType,0.856026785714286,64583,0.597098214285714,66044,0.258928571428572,0.977878384107565,/home/gramos/USP/MSI/92_jcvi-javacommon,org.jcvi.jillion.internal.trace.chromat.abi.tag,TaggedDataType,0,0,0,0.5,0,0,0,0.25,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,3.5,3,2,2,3,1.25,5,1.5,1.75,0,1.75,0,0.75,1,3.25,0,0,0,0.75,1.75,0,0,1.5,82.5,GA
jigl.image.ColorHistogram,0.761074969021066,184281,0.732005201579205,255004,0.029069767441861,0.722659252403884,jigl.image.ColorHistogram,0.761074969021066,184281,0.732005201579205,255004,0.029069767441861,0.722659252403884,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
